sport_event_id,match_date,round,home_team,away_team,og_player,og_player_id,og_player_team,benefiting_team,minute,stoppage_time,home_score_after,away_score_after,final_home_score,final_away_score,commentary
sr:sport_event:61300537,2025-08-24,2,Fulham FC,Manchester United,"Muniz, Rodrigo",sr:player:1557191,Fulham FC,Manchester United,58,,0,1,1,1,Rodrigo Muniz scores with a header and the away team now lead 0-1.
sr:sport_event:61300555,2025-08-30,3,Manchester United,Burnley FC,"Cullen, Josh",sr:player:816106,Burnley FC,Manchester United,27,,1,0,3,2,Goal! Man Utd take a 1-0 lead through a well-placed header from Josh Cullen.
sr:sport_event:61300577,2025-09-13,4,Fulham FC,Leeds United,"Gudmundsson, Gabriel",sr:player:971145,Leeds United,Fulham FC,90,4,1,0,1,0,Own goal! Gabriel Gudmundsson has scored at the wrong end to make it 1-0.
sr:sport_event:61300593,2025-09-20,5,Fulham FC,Brentford FC,"Pinnock, Ethan",sr:player:1056935,Brentford FC,Fulham FC,50,,3,1,3,1,It's now 3-1 thanks to an own goal from Ethan Pinnock.
sr:sport_event:61300589,2025-09-20,5,Brighton & Hove Albion,Tottenham Hotspur,"Van Hecke, Jan Paul",sr:player:1630352,Brighton & Hove Albion,Tottenham Hotspur,82,,2,2,2,2,Jan Paul Van Hecke blunders with an own goal. This makes it 2-2.
sr:sport_event:61300619,2025-09-27,6,Manchester City,Burnley FC,"Esteve, Maxime",sr:player:1644602,Burnley FC,Manchester City,12,,1,0,5,1,Maxime Esteve is on target to give Man City a 1-0 advantage.
sr:sport_event:61300619,2025-09-27,6,Manchester City,Burnley FC,"Esteve, Maxime",sr:player:1644602,Burnley FC,Manchester City,65,,3,1,5,1,Goal! Maxime Esteve extends Man City's lead to 3-1.
sr:sport_event:61300645,2025-10-05,7,Wolverhampton Wanderers,Brighton & Hove Albion,"Verbruggen, Bart",sr:player:1859404,Brighton & Hove Albion,Wolverhampton Wanderers,21,,1,0,1,1,Bart Verbruggen puts the ball in the net and the home team now lead 1-0.
sr:sport_event:61300661,2025-10-18,8,Sunderland AFC,Wolverhampton Wanderers,"Krejci, Ladislav",sr:player:927018,Wolverhampton Wanderers,Sunderland AFC,90,2,2,0,2,0,Ladislav Krejci has the misfortune to make it 2-0 through an own goal.
sr:sport_event:61300681,2025-10-25,9,Manchester United,Brighton & Hove Albion,Casemiro,sr:player:122951,Brighton & Hove Albion,Manchester United,34,,2,0,4,2,An unfortunate own goal by Casemiro makes the score 2-0.
sr:sport_event:61300691,2025-11-01,10,Crystal Palace,Brentford FC,"Collins, Nathan",sr:player:1069190,Brentford FC,Crystal Palace,51,,2,0,2,0,Nathan Collins blunders with an own goal. This makes it 2-0.
sr:sport_event:61300693,2025-11-01,10,Fulham FC,Wolverhampton Wanderers,"Mosquera, Yerson",sr:player:1769162,Wolverhampton Wanderers,Fulham FC,75,,3,0,3,0,It's now 3-0 thanks to an own goal from Yerson Mosquera.
sr:sport_event:61300705,2025-11-02,10,West Ham United,Newcastle United,"Botman, Sven",sr:player:1059315,Newcastle United,West Ham United,45,5,2,1,3,1,Sven Botman blunders with an own goal. This makes it 2-1.
sr:sport_event:61300783,2025-12-02,14,Fulham FC,Manchester City,"Berge, Sander",sr:player:566232,Fulham FC,Manchester City,54,,1,5,4,5,Sander Berge puts the ball in the net and the away team extend their lead. The score-line now reads 1-5.
sr:sport_event:61300779,2025-12-03,14,Brighton & Hove Albion,Aston Villa,"Torres, Pau",sr:player:944170,Aston Villa,Brighton & Hove Albion,29,,2,0,3,4,Pau Torres scores an unfortunate own goal. This makes it 2-0 at American Express Community Stadium.
sr:sport_event:61300791,2025-12-03,14,Liverpool FC,Sunderland AFC,"Mukiele, Nordi",sr:player:780014,Sunderland AFC,Liverpool FC,81,,1,1,1,1,Goal! Nordi Mukiele levels the match at 1-1.
sr:sport_event:61300801,2025-12-06,15,Everton FC,Nottingham Forest,"Milenkovic, Nikola",sr:player:976055,Nottingham Forest,Everton FC,2,,1,0,3,0,Nikola Milenkovic blunders with an own goal. This makes it 1-0.
sr:sport_event:61300815,2025-12-13,16,Arsenal FC,Wolverhampton Wanderers,"Johnstone, Sam",sr:player:98427,Wolverhampton Wanderers,Arsenal FC,70,,1,0,2,1,Own goal! Sam Johnstone has scored at the wrong end to make it 1-0.
sr:sport_event:61300815,2025-12-13,16,Arsenal FC,Wolverhampton Wanderers,"Mosquera, Yerson",sr:player:1769162,Wolverhampton Wanderers,Arsenal FC,90,4,2,1,2,1,Yerson Mosquera scores with a header and the home team now lead 2-1.
sr:sport_event:61300833,2025-12-14,16,West Ham United,Aston Villa,"Mavropanos, Konstantinos",sr:player:950080,West Ham United,Aston Villa,9,,1,1,2,3,Goal! Konstantinos Mavropanos (Aston Villa) levels the score at 1-1 with a header.
sr:sport_event:61300831,2025-12-14,16,Sunderland AFC,Newcastle United,"Woltemade, Nick",sr:player:1724622,Newcastle United,Sunderland AFC,46,,1,0,1,0,An unfortunate own goal by Nick Woltemade makes the score 1-0.
sr:sport_event:61300857,2025-12-27,18,Brentford FC,AFC Bournemouth,"Petrovic, Djordje",sr:player:1060571,AFC Bournemouth,Brentford FC,39,,2,0,4,1,Goal! Djordje Petrovic extends Brentford's lead to 2-0.
sr:sport_event:61300855,2025-12-27,18,Arsenal FC,Brighton & Hove Albion,"Rutter, Georginio",sr:player:1565286,Brighton & Hove Albion,Arsenal FC,52,,2,0,2,1,Georginio Rutter has the misfortune to make it 2-0 through an own goal.
sr:sport_event:61300931,2026-01-06,21,West Ham United,Nottingham Forest,Murillo,sr:player:2361593,Nottingham Forest,West Ham United,13,,1,0,1,2,Murillo blunders with an own goal. This makes it 1-0.
sr:sport_event:61300923,2026-01-07,21,Burnley FC,Manchester United,"Heaven, Ayden",sr:player:2691816,Manchester United,Burnley FC,13,,1,0,2,2,Own goal! Ayden Heaven has scored at the wrong end to make it 1-0.
sr:sport_event:61300959,2026-01-25,23,Arsenal FC,Manchester United,"Martinez, Lisandro",sr:player:1134755,Manchester United,Arsenal FC,29,,1,0,2,3,Lisandro Martinez scores an unfortunate own goal. This makes it 1-0 at Emirates Stadium.
sr:sport_event:61300983,2026-01-31,24,Leeds United,Arsenal FC,"Madueke, Noni",sr:player:1300742,Leeds United,Arsenal FC,38,,0,2,0,4,An unfortunate own goal by Noni Madueke makes the score 0-2.
sr:sport_event:65905652,2026-02-02,24,Sunderland AFC,Burnley FC,"Tuanzebe, Axel",sr:player:908340,Burnley FC,Sunderland AFC,9,,1,0,3,0,Goal! Sunderland have got their heads in front thanks to a Axel Tuanzebe strike.
sr:sport_event:61301007,2026-02-07,25,Fulham FC,Everton FC,"Mykolenko, Vitaliy",sr:player:935132,Everton FC,Fulham FC,18,,1,0,1,2,An unfortunate own goal by Vitaliy Mykolenko makes the score 1-0.
sr:sport_event:61301007,2026-02-07,25,Fulham FC,Everton FC,"Leno, Bernd",sr:player:103335,Fulham FC,Everton FC,83,,1,2,1,2,It's now 1-2 thanks to an own goal from Bernd Leno.
sr:sport_event:61301035,2026-02-11,26,Crystal Palace,Burnley FC,"Lerma, Jefferson",sr:player:355796,Crystal Palace,Burnley FC,45,3,2,3,2,3,It's now 2-3 thanks to an own goal from Jefferson Lerma.
sr:sport_event:61301033,2026-02-11,26,Aston Villa,Brighton & Hove Albion,"Hinshelwood, Jack",sr:player:2532547,Brighton & Hove Albion,Aston Villa,86,,1,0,1,0,Jack Hinshelwood scores an unfortunate own goal. This makes it 1-0 at Villa Park.
sr:sport_event:61301065,2026-02-28,28,Burnley FC,Brentford FC,"Kayode, Michael",sr:player:2164250,Brentford FC,Burnley FC,45,3,1,3,3,4,It's now 1-3 thanks to an own goal from Michael Kayode.
sr:sport_event:61301071,2026-02-28,28,Liverpool FC,West Ham United,"Disasi, Axel",sr:player:940716,West Ham United,Liverpool FC,82,,5,2,5,2,Axel Disasi scores an unfortunate own goal. This makes it 5-2 at Anfield.
sr:sport_event:61301061,2026-03-01,28,Arsenal FC,Chelsea FC,"Hincapie, Piero",sr:player:1852832,Arsenal FC,Chelsea FC,45,2,1,1,2,1,It's now 1-1 thanks to an own goal from Piero Hincapie.
